dissemination id,org dissemination id,exec timestamp,action,cleared,collateralization,end user exception,bespoke swap,block trade,exec venue,effective date,end date,day count convention,settlement currency,asset class,asset subclass,contract type,contract subtype,taxonomy,price forming continuation data,underlying asset 1,underlying asset 2,price notation type,price notation,additional price notation type,additional price notation,unique product id,notional currency 1,notional currency amount 1,notional currency 2,notional currency amount 2,payment frequency,payment frequency 2,reset frequency,reset frequency 2,embedded option,option strike price,option type,option family,option currency,option premium,option lock period,option expiration date,submission timestamp,publication timestamp,ticker,cds version
'6569987663753379840','0',2018-06-22T19:07:32.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2020,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.250000,USD,887630.000000,InterestRate:IRSwap:FixedFloat,USD,72000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:07:36.000,2018-06-22T19:07:36.000,, 
'6569987659458150400','0',2018-06-22T19:07:32.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.500000,USD,684325.000000,InterestRate:IRSwap:FixedFloat,USD,7000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:07:35.000,2018-06-22T19:07:35.000,, 
'6569987285796257792','0',2018-06-22T19:06:04.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2020,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.250000,USD,2216249.000000,InterestRate:IRSwap:FixedFloat,USD,180000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:06:08.000,2018-06-22T19:06:08.000,, 
'6569987281500766208','0',2018-06-22T19:06:04.000,New,C,UC,N,N,N,On,09/19/2018,09/19/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.500000,USD,1672684.000000,InterestRate:IRSwap:FixedFloat,USD,40000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:06:07.000,2018-06-22T19:06:07.000,, 
'6569986121859858432','0',2018-06-22T19:01:34.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.918900,,0,InterestRate:IRSwap:FixedFloat,USD,110000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:01:37.000,2018-06-22T19:01:37.000,, 
'6569985743903260672','0',2018-06-22T19:00:05.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.919500,,0,InterestRate:IRSwap:FixedFloat,USD,45000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:00:09.000,2018-06-22T19:00:09.000,, 
'6569985735312801792','0',2018-06-22T19:00:05.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.968000,,0,InterestRate:IRSwap:FixedFloat,USD,10000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T19:00:07.000,2018-06-22T19:00:07.000,, 
'6569985606464045056','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.989500,USD,93082.000000,InterestRate:IRSwap:FixedFloat,USD,24000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:37.000,2018-06-22T18:59:37.000,, 
'6569985597873848320','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/25/2018,06/25/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.975500,USD,25399.000000,InterestRate:IRSwap:FixedFloat,USD,24000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:35.000,2018-06-22T18:59:35.000,, 
'6569985589284175872','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/25/2018,06/25/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.981500,USD,56121.000000,InterestRate:IRSwap:FixedFloat,USD,24000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:33.000,2018-06-22T18:59:33.000,, 
'6569985580693716992','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/14/2018,06/14/2048,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,3.038480,USD,353805.000000,InterestRate:IRSwap:FixedFloat,USD,24000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:31.000,2018-06-22T18:59:31.000,, 
'6569985567809339392','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.981500,USD,78815.000000,InterestRate:IRSwap:FixedFloat,USD,57000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:28.000,2018-06-22T18:59:28.000,, 
'6569985563514109952','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/22/2018,06/22/2028,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.968800,USD,20106.000000,InterestRate:IRSwap:FixedFloat,USD,57000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:27.000,2018-06-22T18:59:27.000,, 
'6569985559219404800','0',2018-06-22T18:59:19.000,New,C,UC,N,N,N,On,06/26/2018,06/26/2023,30/360,USD,IR,Vanilla,InterestRate:IRSwap:FixedFloat,NA,InterestRate:IRSwap:FixedFloat,Trade,Fixed,USD-LIBOR-BBA 3M,Percent,2.920500,USD,6112.000000,InterestRate:IRSwap:FixedFloat,USD,110000000.00,USD,,6M,3M,,3M,,0,,N/A,,0,,,2018-06-22T18:59:26.000,2018-06-22T18:59:26.000,, 
